Project Name,Test Function,Smell Type
vradarserver@vrs,StandingDataManagerTests<>StandingDataManager_FindAirportForCode_Returns_Airport_When_Passed_Known_Iata,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,TransformPositionMutatorTest<>ClearTargetInactiveGameObject,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,PlayerManagerCSharpEventListener<>PlayerInput_CanSwitchControlSchemesManually,Assertion_Roulette_Smells
vradarserver@vrs,AircraftListJsonTests<>AircraftListJson_Constructor_Initialises_To_Known_State_And_Properties_Work,Assertion_Roulette_Smells
vradarserver@vrs,ObservableClass<>NotifyList_Replace_Does_Not_RaiseEvents_If_RaiseChangedEvents_Is_False,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,FloatActionLiveMock<>ReceiveInitialValue,Assertion_Roulette_Smells
watson-developer-cloud@unity-sdk,TextToSpeechV1IntegrationTests<>TestDeleteCustomPrompts,Assertion_Roulette_Smells
vradarserver@vrs,JsonExample<>Responder_SendImage_Fills_Response_Correctly_For_Bmp_Images,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,GameObjectStateMirrorTest<>ActivateTargets,Assertion_Roulette_Smells
vradarserver@vrs,CidrTests<>Cidr_Default_Constructor_Initialises_To_Known_State,Assertion_Roulette_Smells
virtuallynaked@virtually-naked,ScatteringProfileExtensionsTest<>TestFindImperceptibleDistanceSearchingUp,Assertion_Roulette_Smells
icosa-gallery@open-brush,FbxDouble4x4Test<>TestBasics,Assertion_Roulette_Smells
ChanyaVRC@VRCOscLib,OscConnectionSettingsTests<>TestVrcIPAddressInvalidFormat,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,CollisionTrackerMock<>CollisionTrackerDisabledObserver_ClearSourceInactiveGameObject,Assertion_Roulette_Smells
vrm-c@UniVRM,EditorTextureSerializerTests<>InputAssetsRawImage,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,ArtificialVelocityApplierProcessTest<>IncrementAngularVelocity,Assertion_Roulette_Smells
UMI3D@UMI3D-SDK,PoseAnimationSerializerModule_Test<>Read_PoseAnimatorDto,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,CountdownTimerTest<>TimerEmitTime,Assertion_Roulette_Smells
vradarserver@vrs,AircraftTests<>Aircraft_UpdateCoordinates_Ignores_Trail_Updates_Less_Than_A_Second_Apart,Assertion_Roulette_Smells
virtuallynaked@virtually-naked,BinnerTest<>TestEndpointsFloatToIdx,Assertion_Roulette_Smells
kurotu@VRCQuestTools,ArktoonMaterialTests<>EmissionColor,Assertion_Roulette_Smells
tterpi@VRSketchingGeometry,RibbonSerializationTest<>GetData_ControlPoints,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,PreProcessorTestDevice<>Devices_CanReadStateOfDeviceAsByteArray,Assertion_Roulette_Smells
CrispthoAlex@holbertonschool-unity,TMP_RuntimeTests<>Parsing_TextInfo_WordWrapDisabled,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,StraightLineCastMock<>CastPointsInsufficientBeamLength,Assertion_Roulette_Smells
hotbreakb@Capstone_Design,VectorTests<>Vector_Normalized,Assertion_Roulette_Smells
virtuallynaked@virtually-naked,BreastGravityAnimatorTest<>TestExpandPositive,Assertion_Roulette_Smells
FarahKamleh@Group4.Project3,JsonParserTest<>StringEscapeTest,Assertion_Roulette_Smells
willychang21@MapboxARGame,TokenTest<>TokenInvalid,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,ObjectPointerMock<>ClearEventDataOriginTransformOverride,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,FacingQueryTest<>ClearTargetInactiveComponent,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,PlayerManagerCSharpEventListener<>PlayerInput_CanPassivateAndReactivateInputBySendingMessages,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,PreProcessorTestDevice<>Devices_AreMadeCurrentWhenReceivingStateEvent,Assertion_Roulette_Smells
vradarserver@vrs,ReportsControllerTests<>ReportRows_DateReport_Adjusts_HasPicture_To_Suit_Configuration_Changes,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,FloatRangeTest<>Contains,Assertion_Roulette_Smells
hotbreakb@Capstone_Design,ListClass<>RemoveAtTest2,Assertion_Roulette_Smells
kurotu@VRCQuestTools,AvatarDynamicsTests<>TestVRCSDK_ChildOfEditorOnly_WithNewPB,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,RaycastHitTextureCoordExtractorTest<>ExtractInactiveComponent,Assertion_Roulette_Smells
willychang21@MapboxARGame,TileCoverTest<>Helsinki,Assertion_Roulette_Smells
SMBenedict173@General-Anesthesia-Simulator,RectTransformValidAfterEnable<>CheckRectTransformValidAfterEnable,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_RebindingCandidatesShouldBeSorted_IfAddingNewCandidate,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,AnimatorParameterMutatorTest<>BoolValue,Assertion_Roulette_Smells
WetzoldStudios@traVRsal-sdk,PatternParserTest<>EmptyPattern,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,FixedLineCastMock<>CastPoints,Assertion_Roulette_Smells
A11YTK@A11YTK,SRTTest<>ParseTimeFromContentString,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,ActiveCollisionConsumerTest<>ConsumeInactiveGameObject,Assertion_Roulette_Smells
vimeo@vimeo-unity-sdk,VimeoRecorderTest<>Can_Record_Video_Without_Uploading,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,TransformPositionExtractorTest<>ExtractInactiveComponent,Assertion_Roulette_Smells
watson-developer-cloud@unity-sdk,DiscoveryV1IntegrationTests<>TestListExpansions,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,CustomInvertProcessor<>TODO_Layouts_CanMoveProcessorFromBaseLayoutInProcessorStack,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,FollowModifierMock<>TargetOffsetNotChildException,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,MonoBehaviourWithEmbeddedActionMap<>Editor_DomainReload_CanRemoveDevicesDuringDomainReload,Assertion_Roulette_Smells
vradarserver@vrs,AircraftListJsonBuilderTests<>AircraftListJsonBuilder_In_FSX_Mode_Sets_ShowFlags_To_False_Regardless_Of_Configuration_Options,Assertion_Roulette_Smells
vrm-c@UniVRM,TextureTests<>TextureExportTest,Assertion_Roulette_Smells
watson-developer-cloud@unity-sdk,DiscoveryV1IntegrationTests<>TestGetMetricsQueryTokenEvent,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,RigidbodyVelocityTrackerTest<>GetAngularVelocity,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,ActiveCollisionsContainerNoDisableClearMock<>Remove,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_CanTriggerActionFromPartialStateUpdate,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_SingletonActions_IgnoreActionNameInBindings,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,LinuxTests<>Devices_SupportsLinuxSDLJoysticks,Assertion_Roulette_Smells
vradarserver@vrs,FlightSimulatorExceptionTests<>FlightSimulatorXException_Custom_Constructor_Initialises_Properties_Correctly,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,MockVelocityTracker<>SetSourceMultiplierX,Assertion_Roulette_Smells
FarahKamleh@Group4.Project3,MeshDataTests<>SharedHasNormalTest,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_CanDisableAndEnable_FromCallbackWhileOtherCompositeBindingIsProgress,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,TestDeviceWithMultiBitControl<>State_BeforeAddingDevice_OffsetsInStateLayoutsAreRelativeToRoot,Assertion_Roulette_Smells
KospY@BasSDK,FontEngineTests<>GetSingleSubstitutionRecords,Assertion_Roulette_Smells
vradarserver@vrs,LogDatabaseTests<>LogDatabase_EstablishSession_Writes_Multiple_Sessions_For_Same_IP_Address,Assertion_Roulette_Smells
Unity-Technologies@EditorXR,TransformExtensionsTests<>TransformBounds_TranslatesLocalBoundsToWorld,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,PhysicsCastTest<>CustomRaycastAll,Assertion_Roulette_Smells
vradarserver@vrs,EventHelperTests<>Raise_Raises_Event_To_Multiple_Handlers,Assertion_Roulette_Smells
ExtendRealityLtd@Zinnia.Unity,LinkedAliasAssociationCollectionTest<>ClearPlayArea,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,MonoBehaviourWithEmbeddedActionMap<>Editor_InputAsset_CanReplaceBindingGroupThroughSerialization,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,UserTests<>Users_CanPairDevice_WithGivenUser_AndUnpairCurrentDevices,Assertion_Roulette_Smells
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_CanChangeExistingBindingOnAction,Assertion_Roulette_Smells
