Project Name,Test Function,Smell Type
Innoactive@Creator,ActiveProcess,ConstructorInitialization
willychang21@MapboxARGame,TestElement,ConstructorInitialization
hotbreakb@Capstone_Design,HeapElement,ConstructorInitialization
vrm-c@UniVRM,TempFile,ConstructorInitialization
dioram@Elektronik-Tools-2.0,InfinitePlanesTests,ConstructorInitialization
dioram@Elektronik,TrackedObjsTests,ConstructorInitialization
gatosyocora@VRCPhotoAlbum,UsersTest,ConstructorInitialization
Unity-Technologies@InputSystem,ScopedExclusionPropertyAttribute,ConstructorInitialization
vradarserver@vrs,ConnectionProperty,ConstructorInitialization
dioram@Elektronik-Tools-2.0,InfoTests,ConstructorInitialization
ExtendRealityLtd@Zinnia.Unity,RuleMock,ConstructorInitialization
gatosyocora@VRCPhotoAlbum,SearchResultUserNameTest,ConstructorInitialization
dioram@Elektronik-Tools-2.0,TrackedObjsTests,ConstructorInitialization
dioram@Elektronik,ObservationsTests,ConstructorInitialization
gatosyocora@VRCPhotoAlbum,SearchResultTest,ConstructorInitialization
dioram@Elektronik,InfinitePlanesTests,ConstructorInitialization
vradarserver@vrs,AddressResponse,ConstructorInitialization
Unity-Technologies@InputSystem,TestVerifier,ConstructorInitialization
vradarserver@vrs,ConvertParameters,ConstructorInitialization
stefaanvermassen@virtual-museum-app,GUIControlTests,ConstructorInitialization
GameLabGraz@Maroon,VrSceneValidationTests,ConstructorInitialization
dioram@Elektronik,PointsTests,ConstructorInitialization
dioram@Elektronik-Tools-2.0,PointsTests,ConstructorInitialization
FarahKamleh@Group4.Project3,TempFile,ConstructorInitialization
nadir500@USN-VR-Unilateral-spatial-neglect-virtual-reality,HeapElement,ConstructorInitialization
virtuallynaked@virtually-naked,BoneTest,ConstructorInitialization
39M@M,HeapElement,ConstructorInitialization
dioram@Elektronik,InfoTests,ConstructorInitialization
icosa-gallery@open-brush,GlobalsTest,ConstructorInitialization
PastaTime@DataRepVR,HeapElement,ConstructorInitialization
GameLabGraz@Maroon,PauseMenuLanguageTests,ConstructorInitialization
stefaanvermassen@virtual-museum-app,WalkingTests,ConstructorInitialization
vradarserver@vrs,TestFileInfo,ConstructorInitialization
vradarserver@vrs,NotPlugin,ConstructorInitialization
icosa-gallery@open-brush,TempEnableReduction,ConstructorInitialization
augcog@ISAACS_Interface,TestElement,ConstructorInitialization
GameLabGraz@Maroon,MainMenuLanguageTests,ConstructorInitialization
GameLabGraz@Maroon,AudioMenuTests,ConstructorInitialization
GameLabGraz@Maroon,PcSceneValidationTests,ConstructorInitialization
dioram@Elektronik-Tools-2.0,ObservationsTests,ConstructorInitialization
Unity-Technologies@InputSystem,EventConstraint,ConstructorInitialization
