Project Name,Test Function,Smell Type
ExtendRealityLtd@Zinnia.Unity,GameObjectRelationsTest<>GetValueByKey,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectObservableListMock<>RemoveLast,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectObservableCounterTest<>DecreaseCountInactiveGameObject,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,TransformEulerRotationExtractorTest<>ExtractInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ObjectPointerMock<>SelectOriginTransformOverride,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatRangeFinderTest<>Transform,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatMaxFinderTest<>TransformUnordered,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatMinFinderTest<>Transform,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ObjectPointerMock<>NoSelectOnInvalidTarget,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatMeanFinderTest<>TransformInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector2ToAngleTest<>TransformInactiveGameObject,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector3MultiplierTest<>TransformEmptyCollection,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,CountdownTimerTest<>TimerDoesNotCompleteOnInactiveGameObject,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatRangeFinderTest<>TransformEmptyCollection,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectMultiRelationObservableListTest<>HasRelationship,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,WaitForEndOfFrameYieldEmitterTest<>WaitFor4Frames,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectRelationsTest<>GetValueByIndexNotFoundEmpty,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectStateSwitcherTest<>SwitchPrevious,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectObservableCounterTest<>IncreaseCount,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,TransformExtensionsTest<>SignedLocalEulerAngles,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatEventProxyEmitterTest<>ReceiveWithRuleRestrictions,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,SlicerTest<>SliceInactiveGameObject,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatToBooleanTest<>TransformInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,TransformEulerRotationExtractorTest<>ExtractInactiveGameObject,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,BooleanActionLiveMock<>DefaultValueNotTypeDefault,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,NearestSorterTest<>SortInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectEventObservableTest<>PushDuplicate,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectSourceTargetProcessorMock<>ProcessFirstActiveSourceAgainstValidTargetThenCease,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectEventObservableTest<>Push,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,WaitForEndOfFrameYieldEmitterTest<>WaitFor2Frames,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,MockBaseDeviceDetailsRecord<>ConnectionStatusChanged,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,MockBaseDeviceDetailsRecord<>BatteryChargeStatusChanged,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ObscuranceQueryTest<>ObscuredThenUnobscuredCompoundColliders,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ObjectPointerMock<>EnterExitHover,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatModeFinderTest<>TransformEmptyCollection,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,PhysicsCastTest<>SetLayersToIgnoreByInt,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector2AdderTest<>TransformEmptyCollection,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector2ComponentExtractorTest<>ExtractInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatToBooleanTest<>TransformUnderBounds,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,TransformPositionExtractorTest<>ExtractInactiveGameObject,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ObjectPointerMock<>DeactivateOnDisableComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,WaitForFixedUpdateYieldEmitterTest<>WaitFor2Frames,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectObservableListMock<>InsertAt,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,TimeSpanToStringTest<>TransformInactiveGameObject,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatMinFinderTest<>TransformInactiveGameObject,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectSourceTargetProcessorMock<>ProcessFirstActiveSourceAgainstTargetThenCease,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatToVector2Test<>TransformInactiveGameObject,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector2ToAngleTest<>TransformToSignedRadians,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ActiveCollisionRegisteredConsumerContainerExtendedMock<>RegisterUnregister,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ObjectPointerMock<>Select,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectRelationsTest<>GetValueByIndexNotFound,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector2ToVector3Test<>TransformInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,TransformPositionMutatorTest<>IncrementPropertyGlobal,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector3SubtractorTest<>TransformEmptyCollection,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,StringToFloatTest<>TransformException,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,TransformScaleExtractorTest<>ExtractInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatMultiplierTest<>Transform,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,TimeSpanToStringTest<>TransformInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ObjectDistanceComparatorMock<>ProcessSourceTargetEquals,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector2AdderTest<>TransformExceedingIndex,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectMultiRelationObservableListTest<>HasRelationshipInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectObservableCounterTest<>ClearInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ObjectPointerMock<>DestinationAlwaysHidden,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ActiveCollisionRegisteredConsumerContainerExtendedMock<>RegisterAndPublishWithIgnored,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatMultiplierTest<>TransformInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ObjectPointerMock<>ElementsAlwaysVisible,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectStateSwitcherTest<>SwitchTo,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectRelationsTest<>GetValueByKeyNotFound,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector2MultiplierTest<>TransformInactiveGameObject,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector2CacheTest<>CacheChanged,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ObjectPointerMock<>ActivateAndDeactivate,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,TransformDirectionExtractorTest<>ExtractInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,BooleanToFloatTest<>TransformFalse,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,NearestSorterTest<>SortNoSource,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,RigidbodyPropertyMutatorTest<>MutateGameObjectRigidbody,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatModeFinderTest<>TransformInactiveGameObject,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector2ToAngleTest<>TransformToSignedDegrees,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,CountdownTimerTest<>TimerEmitTimeUnchangedAfterCancelled,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,CollisionChecker<>CollisionsIgnored,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatMedianFinderTest<>TransformEven,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,StateEmitterTest<>ProcessInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ObjectPointerMock<>SegmentAndDestinationAlwaysVisible,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatMeanFinderTest<>TransformUnordered,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,StraightLineCastMock<>TransitionDuration,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector2MultiplierTest<>TransformInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectCacheTest<>CacheChanged,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector2ToAngleTest<>TransformInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector2MultiplierTest<>TransformEmptyCollection,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatMaxFinderTest<>TransformInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector3RestrictorTest<>TransformInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectChildByNameExtractorTest<>ExtractInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,StringEventProxyEmitterTest<>ReceiveWithRuleRestrictions,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ActiveCollisionRegisteredConsumerContainerExtendedMock<>RegisterAndPublish,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatToBooleanTest<>TransformOverBounds,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,StateEmitterTest<>Process,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,GameObjectObservableCounterTest<>RemoveFromCountInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatToVector2Test<>TransformInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,Vector3RestrictorTest<>ClampAllCoordinates,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ObjectPointerEventProxyEmitterTest<>ReceiveWithRuleRestrictions,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,BooleanActionLiveMock<>DefaultValueTypeDefault,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatRangeFinderTest<>TransformInactiveComponent,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,FloatCacheTest<>CacheChanged,DuplicateAssert
ExtendRealityLtd@Zinnia.Unity,ObjectPointerMock<>SegmentAlwaysVisible,DuplicateAssert
