Project Name,Test Function,Smell Type
Unity-Technologies@EditorXR,SetEditingContextImplementor<>SaveProjectSettings_UpdatesProjectSettingsFile,EagerTest
stefaanvermassen@virtual-museum-app,WalkingTests<>TestEnvironment_LoadObjects_ObjectsLoaded,EagerTest
Unity-Technologies@InputSystem,PreProcessorTestDevice<>Devices_ThatHadNoKnownLayout_AreReEnabled_WhenLayoutBecomesKnown,EagerTest
Unity-Technologies@InputSystem,CoreTests<>Actions_CanRemoveBindingOverridesFromMaps,EagerTest
vradarserver@vrs,StandingDataManagerTests<>StandingDataManager_FindCodeBlock_Returns_Correct_Information_About_Civilian_Aircraft,EagerTest
kurotu@VRCQuestTools,AvatarDynamicsTests<>TestEditorOnly_WithNewPB,EagerTest
Unity-Technologies@InputSystem,CustomInvertProcessor<>Layouts_WhenPlacingControlsAutomatically_MemoryAlignmentConstraintsAreRespected,EagerTest
vimeo@vimeo-unity-sdk,VimeoSettingsTest<>SignIn_Fails_With_Invalid_String,EagerTest
vradarserver@vrs,StatisticsTests<>Statistics_Initialise_Initialises_To_Known_State_And_Properties_Work,EagerTest
vradarserver@vrs,GeofenceCWH_Tests<>Newtonsoft_Json_Deserialisation_Works,EagerTest
dioram@Elektronik-Tools-2.0,CollisionAlgorithmsTests<>RayAABB,EagerTest
icosa-gallery@open-brush,FbxImporterTest<>TestBasics,EagerTest
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_CanAddBindingsToActions_ToExistingComposite,EagerTest
Unity-Technologies@InputSystem,CustomInvertProcessor<>Layouts_CanRegisterPrecompiledLayout,EagerTest
Unity-Technologies@InputSystem,UserTests<>Users_CanUnpairDevices,EagerTest
vrm-c@UniVRM,VRMLookAtTests<>VRMLookAtCurveMapTest,EagerTest
vradarserver@vrs,ListenerTests<>Listener_Connect_Raises_RawBytesReceived_When_Bytes_Are_Received,EagerTest
vradarserver@vrs,CompactPositionReportingTests<>CompactPositionReporting_GlobalDecode_Calculates_Correct_Surface_Position,EagerTest
ExtendRealityLtd@Zinnia.Unity,ObjectDistanceComparatorMock<>SavePositionNullSource,EagerTest
vradarserver@vrs,StandingDataManagerTests<>StandingDataManager_FindAircraftType_Returns_Correct_Record_For_Fake_Radio_Beacon_Type,EagerTest
watson-developer-cloud@unity-sdk,DiscoveryV1IntegrationTests<>TestDeleteGateway,EagerTest
vradarserver@vrs,AircraftControllerTests<>AircraftController_GetAddcThumbnails_Returned_AirportDataApi_Json,EagerTest
vradarserver@vrs,ConnectionLoggerTests<>ConnectionLogger_Start_Updates_Appropriate_BytesSent_Session_Property,EagerTest
vradarserver@vrs,ListenerTests<>Listener_Connect_Raises_Event_With_BaseStationMessage_Built_From_Compressed_Message,EagerTest
Unity-Technologies@InputSystem,PreProcessorTestDevice<>Devices_CanDetectTouchTaps,EagerTest
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_WithMultipleCompositeBindings_WithoutEvaluateMagnitude_Works,EagerTest
Unity-Technologies@InputSystem,CoreTests<>Actions_CanCancelInteractiveRebinding_Manually,EagerTest
icosa-gallery@open-brush,FbxAxisSystemTest<>TestBasics,EagerTest
vradarserver@vrs,AccessConfigurationTests<>AccessConfiguration_IsPathAccessible_StringVersion_Uses_Default_Access_When_IPAddress_Is_Null_Or_Empty,EagerTest
Innoactive@Creator,ChapterTests<>FastForwardTwoStepsLoopingChapter,EagerTest
Unity-Technologies@InputSystem,UserTests<>Users_CanUnpairDevicesAndRemoveUser,EagerTest
pcriadoperez@readyPlayer2,ActionExtensionsTests<>RaiseDataFourArgs,EagerTest
augcog@ISAACS_Interface,MapMatcherTest<>NoSegment,EagerTest
ExtendRealityLtd@Zinnia.Unity,IntRangeTest<>ConstructFromInts,EagerTest
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_CanReadValueTypeFromAction_WithDynamicCompositeType,EagerTest
A11YTK@A11YTK,CustomExtensionsTest<>ResetRectTransform,EagerTest
hotbreakb@Capstone_Design,ReferenceClass<>ClearTest,EagerTest
hotbreakb@Capstone_Design,VectorTests<>Vector_Constructor_2,EagerTest
FarahKamleh@Group4.Project3,JsonValueTests<>MinusInfinityTest,EagerTest
vradarserver@vrs,CidrTests<>Cidr_Parse_Parses_Addresses_Correctly,EagerTest
vradarserver@vrs,ConvertParameters<>AirPressure_InHgToMillibars_Returns_Correct_Values,EagerTest
vradarserver@vrs,CompactPositionReportingTests<>CompactPositionReporting_Encode_LocalDecode_Random_Fuzz_Test,EagerTest
SMBenedict173@General-Anesthesia-Simulator,ButtonTests<>SubmitShouldTransitionToPressedStateAndBackToNormal,EagerTest
icosa-gallery@open-brush,FbxAnimCurveNodeTest<>TestBasics,EagerTest
vradarserver@vrs,HtmlManipulatorTests<>HtmlManipulator_RemoveHtmlContentInjector_Prevents_Injector_From_Injecting_Content,EagerTest
Unity-Technologies@InputSystem,PreProcessorTestDevice<>Devices_CanGetButtonOnGamepadUsingEnum,EagerTest
Unity-Technologies@InputSystem,TestVerifier<>ProjectWideActions_ShouldSupportAssetVerification_IfVerifierHasBeenRegistered,EagerTest
Unity-Technologies@InputSystem,CancelingTestInteraction<>Actions_CanPerformPressInteraction_AndTriggerInteractionResetInCallback,EagerTest
SMBenedict173@General-Anesthesia-Simulator,GenericInputFieldTests<>ContentTypeSetsValues,EagerTest
ChanyaVRC@VRCOscLib,OscParameterCollectionTests<>TestAddRemove,EagerTest
