Project Name,Test Function,Smell Type
mattrdowney@planetaria,NewTestScript<>NewTestScriptSimplePasses,EmptyTest
vradarserver@vrs,ConfigurationListenerTests<>ConfigurationListener_Raises_Events_When_VersionCheckSettings_Changes,EmptyTest
vradarserver@vrs,ConfigurationListenerTests<>ConfigurationListener_Raises_Events_When_MergedFeed_Changes,EmptyTest
UMI3D@UMI3D-SDK,TestToSerializeSerializer<>WriteReadTest,EmptyTest
vradarserver@vrs,ConfigurationListenerTests<>ConfigurationListener_Raises_Events_When_Audio_Changes,EmptyTest
vradarserver@vrs,AircraftOnlineLookupTests<>AircraftOnlineLookup_Lookup_Provider_Exception_Does_Not_Stop_Removal_Of_ICAO_From_Queue,EmptyTest
addyi@SoftwareCity,ComponentProducerTest<>GenerateDocumentTest,EmptyTest
vradarserver@vrs,ConfigurationListenerTests<>ConfigurationListener_Raises_Events_When_RebroadcastSettings_Changes,EmptyTest
addyi@SoftwareCity,OrchestratorTest<>OrchestratorTestSimplePasses,EmptyTest
vradarserver@vrs,PolarPlotterTests<>PolarPlotter_AddCoordinate_Rounds_Bearings_Correctly,EmptyTest
vrm-c@UniVRM,TreeTests<>TreeTest,EmptyTest
vradarserver@vrs,ConfigurationListenerTests<>ConfigurationListener_Raises_Events_When_GoogleMapSettings_Changes,EmptyTest
PastaTime@DataRepVR,InteractionCShapeTests<>CreateDestroyInstance,EmptyTest
gatosyocora@VRCPhotoAlbum,MainViewModelTest<>IsNotNull,EmptyTest
PastaTime@DataRepVR,InteractionCShapeTests<>CreateAndDestroyScene,EmptyTest
vradarserver@vrs,ConfigurationListenerTests<>ConfigurationListener_Raises_Events_When_Mono_Settings_Change,EmptyTest
RhubarbVR@RhubarbVR_Old,DataNodeGroupTests<>GetByteArrayTest,EmptyTest
vradarserver@vrs,ConfigurationListenerTests<>ConfigurationListener_Raises_Events_When_ReceiverLocation_Changes,EmptyTest
RhubarbVR@RhubarbVR_Old,DataNodeGroupTests<>SetByteArrayTest,EmptyTest
vradarserver@vrs,ConfigurationListenerTests<>ConfigurationListener_Raises_Events_When_Receiver_Changes,EmptyTest
icosa-gallery@open-brush,EmptyTest<>Pass,EmptyTest
FarahKamleh@Group4.Project3,TreeTests<>TreeTest,EmptyTest
vradarserver@vrs,ConfigurationListenerTests<>ConfigurationListener_Raises_Events_When_RebroadcastSettings_Access_Changes,EmptyTest
gatosyocora@VRCPhotoAlbum,SearchResultTest<>AddedAllPhotoToShowedPhotoListWhenLoading,EmptyTest
concord-consortium@CEASAR,EditModeTestScript<>EditModeTestScriptSimplePasses,EmptyTest
MatthewSloyan@final-year-applied-project-and-minor-dissertation,TestSuite<>TestScoreManager,EmptyTest
vradarserver@vrs,ConfigurationListenerTests<>ConfigurationListener_Raises_Events_When_MergedFeedRecevier_Changes,EmptyTest
vradarserver@vrs,ConfigurationListenerTests<>ConfigurationListener_Raises_Events_When_FlightRouteSettings_Changes,EmptyTest
