Project Name,Test Function,Smell Type
icosa-gallery@open-brush,TestListExtensions<>TestBadAddRange,ExceptionThrowingTest
ChanyaVRC@VRCOscLib,OscUtilityTests<>TestSendPortOutOfRange,ExceptionThrowingTest
Unity-Technologies@InputSystem,DeviceWithoutAnyControls<>Controls_CanQueryValueOfControls_AfterAddingDevice,ExceptionThrowingTest
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_MapsInAssetsMustHaveUniqueNames,ExceptionThrowingTest
vrm-c@UniVRM,JsonParserTest<>BooleanTest,ExceptionThrowingTest
ChanyaVRC@VRCOscLib,OscUtilityTests<>TestClientIPAddressNull,ExceptionThrowingTest
icosa-gallery@open-brush,FbxConstraintScaleTest<>TestBasics,ExceptionThrowingTest
nadir500@USN-VR-Unilateral-spatial-neglect-virtual-reality,DequeTests<>AccessEmptyBack,ExceptionThrowingTest
willychang21@MapboxARGame,ReverseGeocodeResourceTest<>SetInvalidTypes,ExceptionThrowingTest
ExtendRealityLtd@Zinnia.Unity,ObscuranceQueryTest<>TargetWithoutCollider_ThrowsMissingColliderException,ExceptionThrowingTest
immersivecognition@unity-experiment-framework,TestSettings<>GetSetSettings,ExceptionThrowingTest
UMI3D@UMI3D-SDK,PoseSubskeleton_Test<>GetPose_Null,ExceptionThrowingTest
icosa-gallery@open-brush,TestTransformExtensions<>TestRelativeAccessor_SameSet,ExceptionThrowingTest
willychang21@MapboxARGame,MapMatcherTest<>CoordinatesNull,ExceptionThrowingTest
FarahKamleh@Group4.Project3,JsonParserTest<>ParseTest,ExceptionThrowingTest
icosa-gallery@open-brush,FbxLayerTest<>TestDispose,ExceptionThrowingTest
UMI3D@UMI3D-SDK,PoseSubskeleton_Test<>GetPose_InvalidHierarchy,ExceptionThrowingTest
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_MapsInAssetMustHaveName,ExceptionThrowingTest
Unity-Technologies@InputSystem,PointerInputComposite<>TODO_Actions_ReadingValueOfIncorrectType_FromComposite_ThrowsHelpfulException,ExceptionThrowingTest
willychang21@MapboxARGame,BearingFilterTest<>InvalidValues,ExceptionThrowingTest
icosa-gallery@open-brush,TestBinaryReaderWriter<>TestBaseStream,ExceptionThrowingTest
UMI3D@UMI3D-SDK,PoseSubskeleton_Test<>StartPose_Null,ExceptionThrowingTest
willychang21@MapboxARGame,DirectionResourceTest<>SetInvalidRadiuses_TooSmall,ExceptionThrowingTest
ChanyaVRC@VRCOscLib,OscAvatarTests<>TestToConfig,ExceptionThrowingTest
icosa-gallery@open-brush,FbxSystemUnitTest<>TestBasics,ExceptionThrowingTest
pcriadoperez@readyPlayer2,TransformExtensionsTests<>IterateNull,ExceptionThrowingTest
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_CanRenameActionInMap,ExceptionThrowingTest
willychang21@MapboxARGame,DirectionResourceTest<>SetInvalidBearings,ExceptionThrowingTest
icosa-gallery@open-brush,<>TestVarious,ExceptionThrowingTest
icosa-gallery@open-brush,TestStatelessRng<>TestCheckUniformity,ExceptionThrowingTest
UMI3D@UMI3D-SDK,PoseSaverService_Test<>SavePose_NullRoots,ExceptionThrowingTest
FarahKamleh@Group4.Project3,Utf8StringTests<>SplitIntegerTest,ExceptionThrowingTest
augcog@ISAACS_Interface,DirectionResourceTest<>SetInvalidBearings,ExceptionThrowingTest
ChanyaVRC@VRCOscLib,OscConnectionSettingsTests<>TestReceivePortOutOfRange,ExceptionThrowingTest
alvinquach@jpl-trek-vr,TextureUtilsTests<>ComputeMipmapSize_NotPowerOf2_ThrowsException,ExceptionThrowingTest
vrm-c@UniVRM,JsonParserTest<>ParseTest,ExceptionThrowingTest
alvinquach@jpl-trek-vr,TextureUtilsTests<>ComputeMipmapDimensions_NotPowerOf2_ThrowsException,ExceptionThrowingTest
UMI3D@UMI3D-SDK,PoseAnimatorLoader_Test<>Load_Null,ExceptionThrowingTest
icosa-gallery@open-brush,TestQuaternionExtensions<>TestLogInvalidArgument,ExceptionThrowingTest
ChanyaVRC@VRCOscLib,OscConnectionSettingsTests<>TestClientIPAddressNull,ExceptionThrowingTest
ChanyaVRC@VRCOscLib,OscParameterCollectionTests<>TestIndexer,ExceptionThrowingTest
FarahKamleh@Group4.Project3,JsonParserTest<>BooleanTest,ExceptionThrowingTest
Unity-Technologies@InputSystem,TestException<>Events_CanSwitchToFullyManualUpdates,ExceptionThrowingTest
Unity-Technologies@InputSystem,PreProcessorTestDevice<>Devices_AddingDeviceByType_IfTypeIsNotKnownAsLayout_AutomaticallyRegistersControlLayout,ExceptionThrowingTest
pcriadoperez@readyPlayer2,TransformExtensionsTests<>IterateIgnoreNull,ExceptionThrowingTest
hotbreakb@Capstone_Design,TestEnumerator<>SingleTest,ExceptionThrowingTest
Unity-Technologies@InputSystem,TestException<>Events_ThrowingExceptionsInInternalCode_DoesntLookupLatterUpdates,ExceptionThrowingTest
Unity-Technologies@InputSystem,InputActionAssetManagerEditorTests<>Editor_InputActionAssetManager_ThrowsIfCreatedFromNonPersistedAsset,ExceptionThrowingTest
immersivecognition@unity-experiment-framework,TestFileSaver<>WriteManyFiles,ExceptionThrowingTest
ExtendRealityLtd@Zinnia.Unity,TransformEulerRotationMutatorTest<>OriginNotChildException,ExceptionThrowingTest
UMI3D@UMI3D-SDK,PoseAnimator_Test<>PoseAnimator_Null,ExceptionThrowingTest
icosa-gallery@open-brush,FbxVector2Test<>BasicTests,ExceptionThrowingTest
Unity-Technologies@InputSystem,CoreTests<>Actions_InteractiveRebinding_RequiresActionToBeDisabled,ExceptionThrowingTest
Unity-Technologies@InputSystem,CustomInvertProcessor<>Layouts_BuildingLayoutInCode_WithEmptyUsageString_Throws,ExceptionThrowingTest
Unity-Technologies@InputSystem,CustomInvertProcessor<>Layouts_CanModifyControlDefinedInBaseClass,ExceptionThrowingTest
vrm-c@UniVRM,NativeArrayTests<>DisposeTest,ExceptionThrowingTest
willychang21@MapboxARGame,ForwardGeocodeResourceTest<>SetInvalidCountries,ExceptionThrowingTest
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_CannotAddUnnamedActionToMap,ExceptionThrowingTest
addyi@SoftwareCity,SQUriBuilderTest<>BaseUriNotNull,ExceptionThrowingTest
FarahKamleh@Group4.Project3,TextureTests<>TextureExtractTest,ExceptionThrowingTest
Unity-Technologies@InputSystem,DeviceWithoutAnyControls<>Controls_AskingValueOfControlBeforeDeviceAddedToSystemIsInvalidOperation,ExceptionThrowingTest
icosa-gallery@open-brush,FbxBlendShapeTest<>TestBasics,ExceptionThrowingTest
ExtendRealityLtd@Zinnia.Unity,ObscuranceQueryTest<>TargetWithoutRigidbodyWithCompoundCollider_ThrowsMissingColliderException,ExceptionThrowingTest
willychang21@MapboxARGame,ForwardGeocodeResourceTest<>SetInvalidTypes,ExceptionThrowingTest
dioram@Elektronik-Tools-2.0,LinqExtensionsTests<>MaxByNull,ExceptionThrowingTest
FarahKamleh@Group4.Project3,NativeArrayTests<>DisposeTest,ExceptionThrowingTest
icosa-gallery@open-brush,FbxClusterTest<>TestBasics,ExceptionThrowingTest
pcriadoperez@readyPlayer2,GameObjectExtensionsTests<>ApplyLayerCacheRecursivelyNullCache,ExceptionThrowingTest
UMI3D@UMI3D-SDK,CollaborationSkeletonsManager_Test<>CreateSkeleton_NullHierarchy,ExceptionThrowingTest
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_CannotAddControlSchemeWithoutName,ExceptionThrowingTest
icosa-gallery@open-brush,FbxPoseTest<>TestAdd,ExceptionThrowingTest
hotbreakb@Capstone_Design,ListClass<>AddInvalidObjectTest,ExceptionThrowingTest
ChanyaVRC@VRCOscLib,OscAvatarParameterTests<>Ctor_BothNullTest,ExceptionThrowingTest
icosa-gallery@open-brush,FbxDouble2Test<>TestBasics,ExceptionThrowingTest
Unity-Technologies@InputSystem,TestException<>Events_CanSwitchToProcessingInFixedUpdates,ExceptionThrowingTest
BioMotionLab@TUX,ListExtensionTests<>ThrowsOutOfRangeIfListLessThan2Long,ExceptionThrowingTest
BioMotionLab@TUX,StringExtensionTests<>TruncateNegativeThrowsException,ExceptionThrowingTest
Unity-Technologies@InputSystem,TestObject<>Utilities_ParsingNameAndParameterList_RequiresStringToNotBeEmpty,ExceptionThrowingTest
tana@Mondeto,WasmRunnerTests<>TimeLimitTest,ExceptionThrowingTest
Unity-Technologies@InputSystem,CustomInvertProcessor<>Layouts_CanRegisterPrecompiledLayout,ExceptionThrowingTest
hotbreakb@Capstone_Design,TestEnumerator<>ElementAtTest,ExceptionThrowingTest
immersivecognition@unity-experiment-framework,TestSettings<>CascadeSettings,ExceptionThrowingTest
hotbreakb@Capstone_Design,ReferenceClass<>AddInvalidTest,ExceptionThrowingTest
icosa-gallery@open-brush,FbxConstraintScaleTest<>TestWorldUpObject,ExceptionThrowingTest
Unity-Technologies@InputSystem,PreProcessorTestDevice<>Devices_DoesntErrorOutOnMaxTouchCount,ExceptionThrowingTest
Unity-Technologies@InputSystem,PreProcessorTestDevice<>Devices_EventPreProcessor_Can,ExceptionThrowingTest
icosa-gallery@open-brush,FbxAnimStackTest<>TestBasics,ExceptionThrowingTest
hotbreakb@Capstone_Design,DequeTests<>AccessEmptyFront,ExceptionThrowingTest
icosa-gallery@open-brush,FbxSkinTest<>TestAddCluster,ExceptionThrowingTest
nadir500@USN-VR-Unilateral-spatial-neglect-virtual-reality,DequeTests<>InvalidIndex,ExceptionThrowingTest
hotbreakb@Capstone_Design,DequeTests<>InvalidIndex,ExceptionThrowingTest
FarahKamleh@Group4.Project3,HumanoidTests<>HumanoidTest,ExceptionThrowingTest
hotbreakb@Capstone_Design,DequeTests<>InvalidCapacity,ExceptionThrowingTest
icosa-gallery@open-brush,FbxSceneTest<>TestAddPose,ExceptionThrowingTest
UMI3D@UMI3D-SDK,PoseSubskeleton_Test<>UpdateBones_Null,ExceptionThrowingTest
Unity-Technologies@InputSystem,PointerInputComposite<>Actions_CanHandleModification,ExceptionThrowingTest
icosa-gallery@open-brush,FbxMeshBadBracketingExceptionTest<>TestBeginBadPolygonCreation,ExceptionThrowingTest
Unity-Technologies@InputSystem,UserTests<>Users_CanActivateControlSchemeByName,ExceptionThrowingTest
dioram@Elektronik,LinqExtensionsTests<>MinByEmpty,ExceptionThrowingTest
UMI3D@UMI3D-SDK,PoseSubskeleton_Test<>WriteTrackingFrame_Null,ExceptionThrowingTest
addyi@SoftwareCity,SqAuthValidationUriBuilderTest<>BaseUriNotEmpty,ExceptionThrowingTest
