Project Name,Test Function,Smell Type
UMI3D@UMI3D-SDK,PoseSubskeleton_Test<>StopAllPoses_All,GeneralFixture
ExtendRealityLtd@Zinnia.Unity,ObjectPointerMock<>ClearRepeatedSegment,GeneralFixture
SMBenedict173@General-Anesthesia-Simulator,SelectableTest<>SettingParentParentCanvasGroupNotInteractableShouldNotMakeSelectableNotInteractableIfIgnoreParentGroups,GeneralFixture
iamtomhewitt@jet-dash-vr,PlayerCollisionTests<>ShouldNotDieIfInHyperdrive,GeneralFixture
augcog@ISAACS_Interface,MapMatcherTest<>Profiles,GeneralFixture
SMBenedict173@General-Anesthesia-Simulator,SelectableTest<>TriggerAnimationAnimatorWithNoRuntimeController,GeneralFixture
iamtomhewitt@jet-dash-vr,ShopManagerTests<>ShouldPurchaseShip,GeneralFixture
SMBenedict173@General-Anesthesia-Simulator,SceneWithNestedLayoutElementsLoad<>SceneWithNestedLayoutGroupLoads,GeneralFixture
iamtomhewitt@jet-dash-vr,PlayerScoreTests<>ShouldShowNotificationSpeedStreak,GeneralFixture
UMI3D@UMI3D-SDK,CollaborationSkeletonsManager_Test<>TryGetSkeletonById_NoSkeletonFound,GeneralFixture
pcriadoperez@readyPlayer2,GameObjectExtensionsTests<>GetFullPathTests,GeneralFixture
ExtendRealityLtd@Zinnia.Unity,ToBoxCastConverterTest<>ConvertFromCapsuleCast,GeneralFixture
icosa-gallery@open-brush,<>TestDisposeDestroy,GeneralFixture
UMI3D@UMI3D-SDK,PoseAnimator_Test<>PoseAnimator_Null,GeneralFixture
ExtendRealityLtd@Zinnia.Unity,ObjectPointerMock<>ClearRepeatedSegmentInactiveGameObject,GeneralFixture
SMBenedict173@General-Anesthesia-Simulator,GraphicTests<>OnPopulateMeshWorksAsExpected,GeneralFixture
ExtendRealityLtd@Zinnia.Unity,PhysicsCastTest<>CustomRaycastIgnoreLayers,GeneralFixture
SMBenedict173@General-Anesthesia-Simulator,GraphicTests<>OnDidApplyAnimationPropertiesSetsAllDirty,GeneralFixture
hotbreakb@Capstone_Design,ProduceConsumeBufferTest<>Test,GeneralFixture
