Project Name,Test Function,Smell Type
Unity-Technologies@InputSystem,CustomInvertProcessor<>TODO_Layout_CustomizedStateLayoutWillNotUseFormatCodeFromBaseLayout,IgnoredTest
Unity-Technologies@InputSystem,PlayerManagerCSharpEventListener<>TODO_PlayerInput_CanJoinPlayersThroughUI,IgnoredTest
Unity-Technologies@InputSystem,PlayerManagerCSharpEventListener<>TODO_PlayerInput_CanSetUpSplitScreen_AndMaintainFixedNumberOfScreens,IgnoredTest
Unity-Technologies@InputSystem,TestDeviceWithMultiBitControl<>TODO_State_SupportsBitAddressingControlsWithAutomaticOffsets,IgnoredTest
Unity-Technologies@InputSystem,TestDeviceWithMultiBitControl<>TODO_State_CanGetUpdateCount_ForEditorUpdates,IgnoredTest
Unity-Technologies@InputSystem,EventConstraint<>UI_DisplayIndexMatchesDisplayWithTouchscreenOnOverlayCanvas,IgnoredTest
Unity-Technologies@InputSystem,CoreTests<>TODO_Actions_InteractiveRebinding_IgnoresUnrelatedInput,IgnoredTest
Unity-Technologies@InputSystem,CoreTests<>TODO_Analytics_ReceivesEventOnFirstUserInteraction,IgnoredTest
Unity-Technologies@InputSystem,EventConstraint<>TODO_UI_WhenEnabled_InitialPointerPositionIsPickedUp,IgnoredTest
Unity-Technologies@InputSystem,PreProcessorTestDevice<>TODO_Devices_CanHijackEventStreamOfDevice,IgnoredTest
icosa-gallery@open-brush,TestMathUtils<>TestEllipsoidTangent_Pld,IgnoredTest
Unity-Technologies@InputSystem,EventConstraint<>TODO_UI_CanStartNavigationWhenNothingIsSelected,IgnoredTest
Unity-Technologies@InputSystem,EventConstraint<>UI_DisplayIndexMatchesDisplayWithMouseOnScreenSpaceCanvas,IgnoredTest
Unity-Technologies@InputSystem,TestException<>TODO_Events_CanFindActiveControlsFromStateEvent,IgnoredTest
Unity-Technologies@InputSystem,PointerInputComposite<>TODO_Actions_CanUseInteractionsOnShortcutModifiers,IgnoredTest
Unity-Technologies@InputSystem,PointerInputComposite<>TODO_Actions_CanPickDevicesThatMatchGivenControlScheme_WithoutAllocatingGCMemory,IgnoredTest
ChanyaVRC@VRCOscLib,OscParameterCollectionTests<>TestLinq,IgnoredTest
Unity-Technologies@InputSystem,EventConstraint<>UI_WhenAssigningInputModuleActionAsset_OldInputsAreDisconnected_AndNewInputsAreConnected,IgnoredTest
BIVROST@360PlayerWindows,<>ShouldntParseURIs,IgnoredTest
Unity-Technologies@InputSystem,EventConstraint<>TODO_UI_CanDriveIME,IgnoredTest
Unity-Technologies@InputSystem,TestDeviceWithMultiBitControl<>TODO_State_CanSetUpStateMonitorsUsingControlPath,IgnoredTest
Unity-Technologies@InputSystem,TestException<>TODO_Events_CanUpdateStateOfDeviceWithBatchEvent,IgnoredTest
addyi@SoftwareCity,SQUriBuilderTest<>UriIsSetCorrect,IgnoredTest
Unity-Technologies@InputSystem,MonoBehaviourWithEmbeddedActionMap<>TODO_Editor_DomainReload_PreservesVariantsOnDevices,IgnoredTest
Unity-Technologies@InputSystem,EventConstraint<>UI_DisplayIndexMatchesDisplayMultiplePointers,IgnoredTest
SMBenedict173@General-Anesthesia-Simulator,ScrollRectTests<>OnScrollClampedShouldClampContentAnchoredPosition,IgnoredTest
Unity-Technologies@InputSystem,IntegrationTests<>WindowsInput_MouseMovements_AreDetected,IgnoredTest
icosa-gallery@open-brush,TestListExtensions<>TestGetBackingArrayReferenceType,IgnoredTest
Unity-Technologies@InputSystem,PreProcessorTestDevice<>TODO_Devices_CanDetermineWhichLayoutIsChosenOnDeviceDiscovery,IgnoredTest
Unity-Technologies@InputSystem,CorePerformanceTests<>TODO_CanSaveAndRestoreSystemInLessThan10Milliseconds,IgnoredTest
Unity-Technologies@InputSystem,CustomInvertProcessor<>TODO_Layouts_CurrentPlatformIsImplicitLayoutVariant,IgnoredTest
Unity-Technologies@InputSystem,CustomInvertProcessor<>TODO_Layouts_CanMoveProcessorFromBaseLayoutInProcessorStack,IgnoredTest
Unity-Technologies@InputSystem,CustomInvertProcessor<>TODO_Layouts_CanSpecifyPlatformsThatLayoutAppliesTo,IgnoredTest
Unity-Technologies@InputSystem,EventConstraint<>TODO_UI_CanDriveVirtualMouseCursorFromGamepad_AndWarpSystemMouseIfPresent,IgnoredTest
Unity-Technologies@InputSystem,DocumentationBasedAPIVerficationTests<>API_DoesNotHaveUndocumentedPublicMethods,IgnoredTest
Unity-Technologies@InputSystem,CustomInvertProcessor<>TODO_Layouts_RegisteringLayoutBuilder_MarksResultingLayoutAsGenerated,IgnoredTest
addyi@SoftwareCity,DocumentSorterTest<>SortingByHeightAscTest,IgnoredTest
Unity-Technologies@InputSystem,HIDTests<>TODO_Devices_SupportsHIDDpads,IgnoredTest
Unity-Technologies@InputSystem,DocumentationBasedAPIVerficationTests<>API_MonoBehaviourHelpUrlsAreValid,IgnoredTest
SMBenedict173@General-Anesthesia-Simulator,ScrollRectTests<>LateUpdateWithElasticShouldDecelerate,IgnoredTest
Unity-Technologies@InputSystem,CustomInvertProcessor<>TODO_Layouts_WhenModifyingChildControlsByPath_DependentControlsUsingStateFromAreUpdatedAsWell,IgnoredTest
Unity-Technologies@InputSystem,UserTests<>TODO_Users_CanApplySettings_WithCustomMouseSensitivity,IgnoredTest
Unity-Technologies@InputSystem,ScopedExclusionPropertyAttribute<>API_DocumentationManualDoesNotHaveMissingOrUnusedImages,IgnoredTest
Unity-Technologies@InputSystem,PreProcessorTestDevice<>TODO_Devices_TouchControlCanReadTouchStateEventForTouchscreen,IgnoredTest
Unity-Technologies@InputSystem,EventConstraint<>UI_CanOperateUIToolkitInterface_UsingInputSystemUIInputModule,IgnoredTest
Unity-Technologies@InputSystem,PointerInputComposite<>TODO_Actions_WithMultipleBoundComposites_DriveInteractionsFromCompositeWithGreatestActuation,IgnoredTest
Unity-Technologies@InputSystem,PlayerManagerCSharpEventListener<>TODO_PlayerInput_CanLimitMaxPlayerCount,IgnoredTest
Unity-Technologies@InputSystem,CustomInvertProcessor<>TODO_Layouts_RemovingLayouts_RemovesAllLayoutsBasedOnIt,IgnoredTest
Unity-Technologies@InputSystem,CustomInvertProcessor<>TODO_Layouts_WhenTwoLayoutsConflict_LastOneRegisteredWins,IgnoredTest
Unity-Technologies@InputSystem,EventConstraint<>TODO_UI_CanGetLastUsedDevice,IgnoredTest
Unity-Technologies@InputSystem,CoreTests<>TODO_Actions_CanCancelInteractiveRebinding_ThroughAction,IgnoredTest
Unity-Technologies@InputSystem,IntegrationTests<>WindowsInput_RemoteDesktopMouseMovements_AreDetected,IgnoredTest
BIVROST@360PlayerWindows,MOTDTest<>TestNoneDeserialization,IgnoredTest
Unity-Technologies@InputSystem,HIDTests<>TODO_Layouts_CanBuildCustomLayoutsBasedOnTheHIDLayoutBuilder,IgnoredTest
Unity-Technologies@InputSystem,PointerInputComposite<>TODO_Actions_CanSetGravityOnDpadComposites,IgnoredTest
Unity-Technologies@InputSystem,UnityRemoteTests<>TODO_Remote_CanReceiveJoystickInputFromUnityRemote,IgnoredTest
Unity-Technologies@InputSystem,TestSteamControllerAPI<>TODO_Editor_ConvertingInputActionsToSteamIGA_ThrowsIfTwoActionsHaveTheSameName,IgnoredTest
Unity-Technologies@InputSystem,PreProcessorTestDevice<>TODO_Devices_CannotChangeStateLayoutOfTouchControls,IgnoredTest
Unity-Technologies@InputSystem,PointerInputComposite<>TODO_Actions_WithMultipleActuationsFromSameState_,IgnoredTest
Unity-Technologies@InputSystem,CustomInvertProcessor<>TODO_Layouts_InputStateInDerivedClassMergesWithControlsOfInputStateFromBaseClass,IgnoredTest
Unity-Technologies@InputSystem,PointerInputComposite<>TODO_Actions_CanOverrideBindingsWithControlsFromSpecificDevices_AndSuppressBindingsToOtherDevices,IgnoredTest
icosa-gallery@open-brush,FbxDocumentInfoTest<>TestCrashOnGetSceneInfo,IgnoredTest
