Project Name,Test Function,Smell Type
Innoactive@Creator,SystemClipboardTests<>PasteWithBehavior,LazyTest
Unity-Technologies@InputSystem,PlayerManagerCSharpEventListener<>PlayerInput_CanPassivateAndReactivateInputBySendingMessages,LazyTest
hotbreakb@Capstone_Design,LeapCTests<>TestSetPolicyFlags,LazyTest
UMI3D@UMI3D-SDK,PoseAnimatorLoader_Test<>Load_Conditions,LazyTest
vradarserver@vrs,ServerConfigJsonTests<>ServerConfigJson_ToModel_Sets_VrsVersion_Correctly,LazyTest
UMI3D@UMI3D-SDK,BindingManager_Test<>AddBinding_Null,LazyTest
Unity-Technologies@InputSystem,TestEventSystem<>Samples_RebindingUI_SuppressingEventsDoesNotInterfereWithUIInput,LazyTest
vradarserver@vrs,JavascriptHelperTests<>JavascriptHelper_FormatStringLiteral_Returns_Word_Null_If_Passed_Null,LazyTest
realitycollective@com.realitytoolkit.core,TestFixture_01_UnityInputManagerHelperTests<>Test01_TestAddCustomMappings,LazyTest
hotbreakb@Capstone_Design,LeapCTests<>TestNow,LazyTest
vradarserver@vrs,ServerConfigJsonTests<>ServerConfigJson_ToModel_Sets_GoogleMapsApiKey_For_Internet_Clients_When_Key_Present,LazyTest
augcog@ISAACS_Interface,MapMatcherTest<>Annotation,LazyTest
willychang21@MapboxARGame,MapMatcherTest<>LanguageEnglish,LazyTest
icosa-gallery@open-brush,TestColorPicker<>TestPicker_SV_H_Hue,LazyTest
alvinquach@jpl-trek-vr,BoundingBoxUtilsTests<>ExpandToSquare_BoundingBoxBBottom_CorrectResults,LazyTest
hotbreakb@Capstone_Design,BitConverterTests<>TestFromUInt32,LazyTest
icosa-gallery@open-brush,FbxExporterTest<>TestExportEmptyFbxDocument,LazyTest
realitycollective@com.realitytoolkit.core,TestFixture_01_UnityInputManagerHelperTests<>Test02_TestRemoveCustomMappings,LazyTest
RussellXie7@Unity_Hololens_Dev,VectorExtensionsTests<>Vector2Collection_Average,LazyTest
Innoactive@Creator,FileManagerTests<>NotExistingFile,LazyTest
Innoactive@Creator,SystemClipboardTests<>PasteMultipleTimes,LazyTest
UMI3D@UMI3D-SDK,EmotesConfigLoader_Test<>ReadUMI3DProperty,LazyTest
alvinquach@jpl-trek-vr,BoundingBoxUtilsTests<>ExpandToSquare_BoundingBoxC_CorrectResults,LazyTest
Unity-Technologies@InputSystem,DeviceWithoutAnyControls<>Controls_CanCheckIfControlMatchesGivenPath,LazyTest
XRTK@com.xrtk.core,TestFixture_01_MixedRealityToolkitTests<>Test_06_01_TryRegisterMixedRealityDataProvider,LazyTest
UMI3D@UMI3D-SDK,DummyTestPoseCondition<>Check_TrueNull,LazyTest
UMI3D@UMI3D-SDK,EmoteDispatcher_Test<>DispatchEmoteTrigger_NoEmoteConfig,LazyTest
Unity-Technologies@InputSystem,PlayerManagerCSharpEventListener<>PlayerInput_CanHaveActionWithNoBindingsInOneControlScheme,LazyTest
Innoactive@Creator,SystemClipboardTests<>PasteWithName,LazyTest
virtuallynaked@virtually-naked,MassMomentTest<>TestCenterOfMass,LazyTest
FarahKamleh@Group4.Project3,CopyTextureTests<>CopyAttributes,LazyTest
