Project Name,Test Function,Smell Type
vradarserver@vrs,DisposableCache<>AircraftOnlineLookupManager_Lookup_Refreshes_Aircraft_After_Four_Weeks,MagicNumber
augcog@ISAACS_Interface,AverageHeadingAlignmentStrategyTests<>MeanAngleSameAngleDifferentForms,MagicNumber
vradarserver@vrs,ConnectionProperty<>Initialise_Hooks_Listener_ExceptionCaught,MagicNumber
dioram@Elektronik-Tools-2.0,ContainersTests<>ActualTopicsTest,MagicNumber
ExtendRealityLtd@Zinnia.Unity,ActiveCollisionRegisteredConsumerContainerMock<>SetActiveCollisionsInactiveGameObject,MagicNumber
icosa-gallery@open-brush,TestListExtensions<>TestAddRange2,MagicNumber
vradarserver@vrs,TestFileInfo<>DirectoryCache_CacheChanged_Not_Raised_If_Content_Does_Not_Change,MagicNumber
ExtendRealityLtd@Zinnia.Unity,ObjectDistanceComparatorMock<>ProcessSourceTargetEquals,MagicNumber
SMBenedict173@General-Anesthesia-Simulator,ImageTests<>OnPopulateMeshWhenNoOverrideSpritePresentDefersToGraphicImplementation,MagicNumber
vradarserver@vrs,StandingDataManagerTests<>StandingDataManager_FindAirlinesForCode_Returns_Empty_Collection_If_Passed_Null,MagicNumber
watson-developer-cloud@unity-sdk,DiscoveryV1IntegrationTests<>TestListExpansions,MagicNumber
WetzoldStudios@traVRsal-sdk,PatternParserTest<>SimplePattern,MagicNumber
iamtomhewitt@vr-pacman,GhostTests<>StopMovingWorks,MagicNumber
gatosyocora@VRCPhotoAlbum,UsersTest<>CanCreateNoDuplicatedUserList,MagicNumber
willychang21@MapboxARGame,CompressionTest<>Corrupt,MagicNumber
tterpi@VRSketchingGeometry,PatchSketchObjectCommandTest<>AddFirstSegmentCommandUndo,MagicNumber
hotbreakb@Capstone_Design,VectorTests<>Vector_XAxis,MagicNumber
hotbreakb@Capstone_Design,LeapCTests<>TestCloseDevice,MagicNumber
iamtomhewitt@jet-dash-vr,PowerupTests<>ShouldGivePointsWhenCollidingWithDoublePointsAndZeroScore,MagicNumber
vradarserver@vrs,ExpiringListTests<>ExpiringList_AddOrRefresh_Refreshes_Existing_Items,MagicNumber
watson-developer-cloud@unity-sdk,SpeechToTextV1IntegrationTests<>WaitForGrammars,MagicNumber
vradarserver@vrs,AdsbTranslatorTests<>AdsbTranslator_Translate_Decodes_Target_State_Version_1_Target_Altitude_Correctly,MagicNumber
vradarserver@vrs,ObservableClass<>NotifyList_AddNew_Struct_With_Events,MagicNumber
vradarserver@vrs,AdsbTranslatorTests<>AdsbTranslator_Translate_Decodes_Target_State_Version_2_Autopilot_State_Flags_Correctly,MagicNumber
iamtomhewitt@jet-dash-vr,PowerupTests<>ShouldDoublePoints,MagicNumber
vrm-c@UniVRM,GltfLoadTests<>GltfSampleModelsTest_DamagedHelmet,MagicNumber
vradarserver@vrs,LogDatabaseTests<>LogDatabase_EstablishSession_Returns_Session_Record,MagicNumber
vradarserver@vrs,BaseStationAircraftListTests<>BaseStationAircraftList_Constructor_Initialises_To_Known_State_And_Properties_Work,MagicNumber
watson-developer-cloud@unity-sdk,TextToSpeechV1IntegrationTests<>TestListWords,MagicNumber
addyi@SoftwareCity,CylinderTest<>PositionCoordinateTest,MagicNumber
vradarserver@vrs,ConnectionLoggerTests<>ConnectionLogger_Start_Ignores_Unhandled_Requests,MagicNumber
vradarserver@vrs,ListenerTests<>Listener_Connect_Does_Not_Raise_Port30003MessageReceived_When_Compressor_Returns_Null,MagicNumber
vradarserver@vrs,AircraftListJsonBuilderTests<>AircraftListJsonBuilder_Returns_Requested_SourceFeedId_When_There_Are_No_Feeds,MagicNumber
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetManyAircraftAndFlightsCountByCode_Can_Return_More_Than_One_Aircraft,MagicNumber
ExtendRealityLtd@Zinnia.Unity,IntRangeTest<>ConstructFromInts,MagicNumber
ExtendRealityLtd@Zinnia.Unity,IntegerToFloatTest<>TransformInactiveGameObject,MagicNumber
immersivecognition@unity-experiment-framework,TestSessionBehaviour<>TestEndAfterLastTrial,MagicNumber
UMI3D@UMI3D-SDK,AbstractSkeleton_Test<>GetCameraDto,MagicNumber
vradarserver@vrs,ReportsControllerTests<>ReportRows_RegistrationReport_Returns_Images_Available_Flags,MagicNumber
watson-developer-cloud@unity-sdk,TextToSpeechV1IntegrationTests<>TestListVoices,MagicNumber
vradarserver@vrs,RebroadcastServerTests<>RebroadcastServer_Disposes_Of_Timer,MagicNumber
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetManyAircraftAndFlightsCountByCode_Returns_Counts_Of_Flights,MagicNumber
ExtendRealityLtd@Zinnia.Unity,TimeSpanToFloatTest<>TransformDays,MagicNumber
ExtendRealityLtd@Zinnia.Unity,FloatRangeFinderTest<>Transform,MagicNumber
vradarserver@vrs,RebroadcastServerTests<>RebroadcastServer_Dispose_Unhooks_From_Listener_Port30003_Events,MagicNumber
virtuallynaked@virtually-naked,SwingTest<>FuzzCalculateDelta,MagicNumber
vradarserver@vrs,ExpiringDictionaryTests<>ExpiringDictionary_Snapshot_Returns_Collection_Of_KeyValuePairs,MagicNumber
ExtendRealityLtd@Zinnia.Unity,StringToFloatTest<>TransformInactiveComponent,MagicNumber
vradarserver@vrs,CompactPositionReportingTests<>CompactPositionReporting_Encode_Calculates_1090_WP30_17_Test_Surface_Positions,MagicNumber
vradarserver@vrs,ExpiringDictionaryTests<>ExpiringDictionary_Upsert_Adds_Item_If_Missing,MagicNumber
vradarserver@vrs,RebroadcastServerTests<>RebroadcastServer_Does_Not_Transmit_Raw_Bytes_If_ExtendedBaseStation_Format_Specified,MagicNumber
virtuallynaked@virtually-naked,BinnerTest<>TestEndpointsFloatToIdx,MagicNumber
virtuallynaked@virtually-naked,IntegerUtilsTest<>TestNextLargerMultiple,MagicNumber
vradarserver@vrs,FeedsControllerTests<>FeedsController_GetPolarPlot_Returns_No_Slices_If_Feed_Has_No_Aircraft_List,MagicNumber
vradarserver@vrs,ExpiringDictionaryTests<>ExpiringDictionary_RemoveIfExists_Does_Not_Throw_If_Key_Does_Not_Exist,MagicNumber
watson-developer-cloud@unity-sdk,TextToSpeechV1IntegrationTests<>TestDeleteCustomPrompts,MagicNumber
ExtendRealityLtd@Zinnia.Unity,FloatObservablePropertyTest<>DontEmitEventsOnDisabledGameObject,MagicNumber
vradarserver@vrs,RawMessageTranslatorTests<>RawMessageTranslator_Translate_Throws_When_Statistics_Is_Null,MagicNumber
vradarserver@vrs,UniversalPlugAndPlayManagerTests<>UniversalPlugAndPlayManager_Dispose_Does_Not_Remove_The_Port_Mapping_If_Not_Established,MagicNumber
ExtendRealityLtd@Zinnia.Unity,GameObjectObservableCounterTest<>RemoveFromCount,MagicNumber
vradarserver@vrs,RawMessageTranslatorTests<>RawMessageTranslator_Translate_Extracts_Track_From_Adsb_Coarse_TISB_Airborne_Position_Messages,MagicNumber
ExtendRealityLtd@Zinnia.Unity,RigidbodyPropertyMutatorTest<>MutateGameObjectRigidbody,MagicNumber
kurotu@VRCQuestTools,AvatarDynamicsTests<>TestMultiChilIgnore,MagicNumber
ExtendRealityLtd@Zinnia.Unity,TimeSpanToFloatTest<>TransformMilliseconds,MagicNumber
willychang21@MapboxARGame,TestElement<>TestListToTreeWorks,MagicNumber
vradarserver@vrs,BitStreamTests<>BitStream_Initialise_Does_Not_Throw_If_Passed_Empty_Array,MagicNumber
vradarserver@vrs,PolarPlotsJsonTests<>PolarPlotsJson_Initialises_To_Known_Values,MagicNumber
dioram@Elektronik,RecorderTests<>LinesTest,MagicNumber
vradarserver@vrs,ListenerTests<>Listener_Connect_Does_Not_Raise_Port30003MessageReceived_When_Translator_Returns_Null,MagicNumber
UMI3D@UMI3D-SDK,JsonParsingTests<>MinMagFilter,MagicNumber
vradarserver@vrs,AirnavXRangeMessageConverterTests<>AirnavXRangeMessageConverter_Creates_Messages_That_BaseStationMessageCompressor_Can_RoundTrip,MagicNumber
tterpi@VRSketchingGeometry,BrushCommandTest<>SetBrushOnLineSketchObjectUndo,MagicNumber
GameLabGraz@Maroon,MissingReferencesTests<>TestMissingReferencesInExperimentScenes,MagicNumber
vradarserver@vrs,ReportsControllerTests<>ReportRows_DateReport_Ignores_Aircraft_Pictures_For_Internet_Clients_If_Configuration_Specifies,MagicNumber
ExtendRealityLtd@Zinnia.Unity,AnimatorParameterMutatorTest<>IntegerValue,MagicNumber
UMI3D@UMI3D-SDK,CollaborationSkeletonsManager_Test<>CreateSkeleton_NullParent,MagicNumber
kurotu@VRCQuestTools,UTS2MaterialTests<>UTS2,MagicNumber
vradarserver@vrs,AircraftListJsonBuilderTests<>AircraftListJsonBuilder_Sends_All_Speed_FullTrackCoordinates_When_FullTrack_Speed_Is_Requested,MagicNumber
icosa-gallery@open-brush,TestStatelessRng<>TestUniformity_InUnitSphere,MagicNumber
vradarserver@vrs,FeedJsonTests<>FeedJson_ToModel_Fills_Properties_Correctly,MagicNumber
ExtendRealityLtd@Zinnia.Unity,GameObjectObservableListMock<>IndexOf,MagicNumber
ExtendRealityLtd@Zinnia.Unity,Vector2ToFloatTest<>TransformExtractSqrMagnitude,MagicNumber
concord-consortium@CEASAR,TestMenuFunctions<>TestSimpleStaticFunctions,MagicNumber
vradarserver@vrs,ObservableClass<>NotifyList_Insert_Struct_With_Events,MagicNumber
vradarserver@vrs,CustomConvertTests<>CustomConvert_Icao24_Six_Digit_Hex_Codes_Are_Valid,MagicNumber
ExtendRealityLtd@Zinnia.Unity,IntEventProxyEmitterTest<>ReceiveInactiveGameObject,MagicNumber
dioram@Elektronik-Tools-2.0,ParsingTests<>PointCloud2,MagicNumber
vradarserver@vrs,TestProvider<>ConfigurationStorage_Save_Rejects_Unexpected_DataVersion,MagicNumber
vradarserver@vrs,ExpiringListTests<>ExpiringList_RefreshAll_Refreshes_All_Items,MagicNumber
