Project Name,Test Function,Smell Type
iamtomhewitt@vr-pacman,PacmanCollisionTests<>CollidingWithGhostWhenGhostIsNotEdibleRemovesLife,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlights_Can_Return_Subset_Of_Rows,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_Transactions_Can_Rollback_Inserts,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetCountOfFlights_Counts_Equality_Criteria,MysteryGuest
SMBenedict173@General-Anesthesia-Simulator,NestedCanvas<>WorldCanvas_CanFindTheSameCameraAfterDisablingAndEnablingRootCanvas,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetSessions_Returns_Empty_List_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_DeleteAircraft_Does_Nothing_If_File_Not_Configured,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_UpsertManyFlights_Inserts_New_Flights,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetDatabaseVersion_Returns_Null_If_File_Not_Configured,MysteryGuest
willychang21@MapboxARGame,SQLiteCacheTest<>Clear,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlights_Sorts_By_One_Column_Correctly,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetManyAircraftAndFlightsCountByCode_Transparently_Handles_Call_Splitting_When_Number_Of_Icaos_Exceeds_MaxParameters,MysteryGuest
vimeo@vimeo-unity-sdk,VimeoUploaderTest<>Upload_Sets_File_Info,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_TestConnection_Returns_False_If_File_Could_Not_Be_Opened,MysteryGuest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabse_WriteSupportEnabled_Leaves_Connection_If_Not_Changed,MysteryGuest
augcog@ISAACS_Interface,MapMatcherTest<>Profiles,MysteryGuest
