Project Name,Test Function,Smell Type
ChanyaVRC@VRCOscLib,OscAvatarParameterTests<>inpurParamsTest,RedundantAssertion
ExtendRealityLtd@Zinnia.Unity,RigidbodyVelocityTest<>ModifyAndDiverge,RedundantAssertion
realitycollective@com.realitytoolkit.core,TestFixture_02_InteractionDefinitionTests<>EmptyListCountTest,RedundantAssertion
addyi@SoftwareCity,ComponentFilterTest<>ListSizeTest,RedundantAssertion
BioMotionLab@TUX,StringExtensionTests<>StringMatchTest,RedundantAssertion
Innoactive@Creator,TrainingBuilderTests<>BuildingIntroTest,RedundantAssertion
ExtendRealityLtd@Zinnia.Unity,RigidbodyVelocityTest<>ModifyWithOffsetAndDiverge,RedundantAssertion
SMBenedict173@General-Anesthesia-Simulator,CanvasScalerWithChildTextObjectDoesNotCrash<>CanvasScalerWithChildTextObjectWithTextFontDoesNotCrash,RedundantAssertion
addyi@SoftwareCity,PyramidTest<>sampleTest,RedundantAssertion
ChanyaVRC@VRCOscLib,OscAvatarConfigTests<>configNameTest,RedundantAssertion
