Project Name,Test Function,Smell Type
vradarserver@vrs,ModeSTranslatorTests<>ModeSTranslator_Translate_Updates_Statistics,SensitiveEquality
vradarserver@vrs,BaseStationMessageHelperTests<>BaseStationMessageHelper_ConvertToBaseStationStatusCode_Converts_Text_Correctly,SensitiveEquality
FarahKamleh@Group4.Project3,Utf8StringTests<>FromStringTest,SensitiveEquality
vradarserver@vrs,HttpContentHelperTests<>HttpContentHelper_FormUrlEncoded_Sets_The_ContentType_Header,SensitiveEquality
UMI3D@UMI3D-SDK,LoggerTest<>CollectingLoggerTest,SensitiveEquality
augcog@ISAACS_Interface,Vector2dTest<>DC,SensitiveEquality
FarahKamleh@Group4.Project3,StoreTests<>StringBuilderStoreTest,SensitiveEquality
FarahKamleh@Group4.Project3,JsonValueTests<>MinusInfinityTest,SensitiveEquality
vradarserver@vrs,AircraftTests<>Aircraft_UpdateCoordinates_Trims_Short_Coordinates_After_Time_Limit_Has_Passed,SensitiveEquality
vradarserver@vrs,AirlineTests<>Airline_ToString_Returns_Standardised_Text,SensitiveEquality
vradarserver@vrs,BaseStationMessageCompressorTests<>BaseStationMessageCompressor_IsCompressedMessage_Returns_False_If_Any_NonZero_Byte_Is_Set_To_Zero,SensitiveEquality
vradarserver@vrs,ConnectionProperty<>Initialise_Sets_Receiver_IsVisible_From_ReceiverUsage,SensitiveEquality
GameLabGraz@Maroon,MainMenuLanguageTests<>WhenSelectGermanLanguageThenLanguageManagerIsGerman,SensitiveEquality
vradarserver@vrs,BaseStationMessageTranslatorTests<>BaseStationMessageTranslator_Translate_Parses_Status_Codes_Correctly,SensitiveEquality
vradarserver@vrs,BaseStationMessageTranslatorTests<>BaseStationMessageTranslator_Translate_Parses_Message_Types_Correctly,SensitiveEquality
FarahKamleh@Group4.Project3,Utf8StringTests<>SplitIntegerTest,SensitiveEquality
GameLabGraz@Maroon,MainMenuTests<>WhenClickLabCategoryExperimentThenLoadScene,SensitiveEquality
stefaanvermassen@virtual-museum-app,Remote_Savable<>Storage_SaveSavableRemote_APIRequestSet,SensitiveEquality
augcog@ISAACS_Interface,TileCoverTest<>Helsinki,SensitiveEquality
vradarserver@vrs,BaseStationMessageTranslatorTests<>BaseStationMessageTranslator_Translate_Parses_Transmission_Types_Correctly,SensitiveEquality
UMI3D@UMI3D-SDK,UriHelperTest<>GetUriStringTest,SensitiveEquality
vradarserver@vrs,RebroadcastServerManagerTests<>RebroadcastServerManager_Initialise_Sets_KeepAlive_Setting_Correctly,SensitiveEquality
mattrdowney@planetaria,CoordinateSystemsTestScripts<>CoordinateSystemsTestScriptsSimplePasses,SensitiveEquality
vradarserver@vrs,BaseStationMessageTests<>BaseStationMessage_ToBaseStationString_Builds_Valid_BaseStation_Messages_From_A_BaseStationMessage_Object_For_Different_Cultures,SensitiveEquality
augcog@ISAACS_Interface,BboxToVector2dBoundsConverterTest<>Deserialize,SensitiveEquality
augcog@ISAACS_Interface,Vector2dTest<>NullIsland,SensitiveEquality
willychang21@MapboxARGame,Vector2dTest<>NullIsland,SensitiveEquality
augcog@ISAACS_Interface,Vector2dBoundsTest<>SmallBounds,SensitiveEquality
hotbreakb@Capstone_Design,TestEnumerator<>ZipTest,SensitiveEquality
vradarserver@vrs,ConnectionProperty<>ApplyConfiguration_Sets_IsVisible_As_Appropriate,SensitiveEquality
stefaanvermassen@virtual-museum-app,Remote_Savable<>Storage_LoadSavableRemote_APIRequestSet,SensitiveEquality
augcog@ISAACS_Interface,LonLatToVector2dConverterTest<>Deserialize,SensitiveEquality
vradarserver@vrs,AdsbTranslatorTests<>AdsbTranslator_Translate_Updates_Statistics_When_Decoding_Messages,SensitiveEquality
vradarserver@vrs,AdsbTranslatorTests<>AdsbTranslator_Translate_Decodes_Messages_Correctly,SensitiveEquality
willychang21@MapboxARGame,ProbeExtractorCsTest<>ExtractProbes,SensitiveEquality
vradarserver@vrs,BaseStationMessageHelperTests<>BaseStationMessageHelper_ConvertToBaseStationTransmissionType_Converts_Text_Correctly,SensitiveEquality
willychang21@MapboxARGame,BboxToVector2dBoundsConverterTest<>Deserialize,SensitiveEquality
vradarserver@vrs,HttpContentHelperTests<>HttpContentHelper_StringContentJson_Has_Correct_ContentType,SensitiveEquality
vradarserver@vrs,AircraftTests<>Aircraft_UpdateCoordinates_Replaces_Last_Full_Coordinate_If_Track_Hardly_Changes,SensitiveEquality
ChanyaVRC@VRCOscLib,OscConnectionSettingsTests<>TestSendPortWithSending,SensitiveEquality
vradarserver@vrs,LogClientTests<>LogClient_Address_Is_Conversion_Of_IpAddress_Property,SensitiveEquality
ChanyaVRC@VRCOscLib,OscConnectionSettingsTests<>TestRegisterMonitorCallback,SensitiveEquality
BIVROST@360PlayerWindows,LittlstarTest<>CanParseStream,SensitiveEquality
FarahKamleh@Group4.Project3,JsonParserTest<>ArrayTest,SensitiveEquality
willychang21@MapboxARGame,LonLatToVector2dConverterTest<>Deserialize,SensitiveEquality
willychang21@MapboxARGame,Vector2dBoundsTest<>SmallBounds,SensitiveEquality
willychang21@MapboxARGame,TileCoverTest<>Helsinki,SensitiveEquality
vradarserver@vrs,PairTests<>Pair_ToString_Returns_Correct_Values,SensitiveEquality
ChanyaVRC@VRCOscLib,OscInputTests<>TestCreateAddress,SensitiveEquality
FarahKamleh@Group4.Project3,JsonParserTest<>TimeTest,SensitiveEquality
vradarserver@vrs,BaseStationMessageTranslatorTests<>BaseStationMessageTranslator_Translate_Only_Translate_Status_Codes_For_Status_Messages,SensitiveEquality
watson-developer-cloud@unity-sdk,AssistantV1IntegrationTests<>TestMessage,SensitiveEquality
vradarserver@vrs,AirportTests<>Airport_ToString_Returns_Standardised_Text,SensitiveEquality
kurotu@VRCQuestTools,SemVerTests<>ParseTest,SensitiveEquality
FarahKamleh@Group4.Project3,Utf8StringTests<>ToCharTest,SensitiveEquality
augcog@ISAACS_Interface,ProbeExtractorCsTest<>ExtractProbes,SensitiveEquality
FarahKamleh@Group4.Project3,JsonValueTests<>NaNTest,SensitiveEquality
nadir500@USN-VR-Unilateral-spatial-neglect-virtual-reality,TestEnumerator<>ZipTest,SensitiveEquality
willychang21@MapboxARGame,BearingFilterTest<>ToStringTest,SensitiveEquality
kurotu@VRCQuestTools,VPMRepositoryTests<>ParseJson,SensitiveEquality
GameLabGraz@Maroon,PauseMenuLanguageTests<>WhenSelectGermanLanguageThenLanguageManagerIsGerman,SensitiveEquality
ChanyaVRC@VRCOscLib,OscUtilityTests<>TestVrcIPAddress,SensitiveEquality
willychang21@MapboxARGame,Vector2dTest<>DC,SensitiveEquality
FarahKamleh@Group4.Project3,JsonValueTests<>InfinityTest,SensitiveEquality
vradarserver@vrs,AircraftTypeTests<>AircraftType_ToString_Returns_Standardised_Text,SensitiveEquality
ChanyaVRC@VRCOscLib,OscConnectionSettingsTests<>TestVrcIPAddress,SensitiveEquality
vradarserver@vrs,RebroadcastServerTests<>RebroadcastServer_Initialise_Throws_If_Called_Twice,SensitiveEquality
GameLabGraz@Maroon,MainMenuTests<>WhenClickLabCategoryGoToLabThenLoadScene,SensitiveEquality
augcog@ISAACS_Interface,BearingFilterTest<>ToStringTest,SensitiveEquality
FarahKamleh@Group4.Project3,VRMImportExportTests<>SerializerCompare,SensitiveEquality
ChanyaVRC@VRCOscLib,OscAvatarParameterInterfaceTests<>CtorTest,SensitiveEquality
ChanyaVRC@VRCOscLib,OscUtilityTests<>TestSendPortWithSending,SensitiveEquality
