Project Name,Test Function,Smell Type
ExtendRealityLtd@Zinnia.Unity,QuaternionExtensionsTest<>SmoothDamp,SleepyTest
iamtomhewitt@jet-dash-vr,SpawnerTests<>ShouldRelocateStationaryObstacle,SleepyTest
ExtendRealityLtd@Zinnia.Unity,CountdownTimerTest<>TimerEmitTime,SleepyTest
iamtomhewitt@vr-pacman,HighscoreManagerTests<>HighscoreNotSavedIfScoreIsLessThanHighscore,SleepyTest
Innoactive@Creator,SystemClipboardTests<>PasteWithTransition,SleepyTest
GameLabGraz@Maroon,FallingCoilTests<>WhenExperimentStartedChangeFieldLinesSliderThenAmountChanges,SleepyTest
Innoactive@Creator,TransitionTests<>SkipSingleConditionBeforeActivation,SleepyTest
iamtomhewitt@vr-pacman,GameObjectManagerTest<>CanCountFoodCorrectly,SleepyTest
iamtomhewitt@vr-pacman,GhostTests<>GhostCanBecomeEdible,SleepyTest
iamtomhewitt@jet-dash-vr,AudioManagerTests<>AllSoundsShouldHaveAnAudioSource,SleepyTest
iamtomhewitt@jet-dash-vr,PlayerCollisionTests<>ShouldDieWhenCollidingWithStationaryObstacle,SleepyTest
iamtomhewitt@vr-pacman,GameObjectManagerTest<>CanSpawnCherry,SleepyTest
SMBenedict173@General-Anesthesia-Simulator,DropdownTests<>Dropdown_Canvas,SleepyTest
iamtomhewitt@vr-pacman,GameObjectManagerTest<>FoodIsActivated,SleepyTest
iamtomhewitt@jet-dash-vr,PlayerCollisionTests<>ShouldNotDieIfInvincible,SleepyTest
iamtomhewitt@vr-pacman,PacmanCollisionTests<>CollidingWithGhostWhenGhostIsEdibleIncreasesScore,SleepyTest
iamtomhewitt@jet-dash-vr,PlayerScoreTests<>ShouldGetDistanceScoreCorrectly,SleepyTest
iamtomhewitt@vr-pacman,GhostTests<>MakingGhostRunHomeChangesGhostSpeed,SleepyTest
iamtomhewitt@jet-dash-vr,AchievementManagerTests<>ShouldUnlockAnAchievement,SleepyTest
iamtomhewitt@vr-pacman,PacmanCollisionTests<>CollidingWithFoodDeactivatesFood,SleepyTest
iamtomhewitt@jet-dash-vr,HighscoreManagerTests<>ShouldNotSaveDistanceScore,SleepyTest
iamtomhewitt@vr-pacman,GameSettingsManagerTests<>GameSettingsManagerChangeSensitivityWorks,SleepyTest
ExtendRealityLtd@Zinnia.Unity,CountdownTimerTest<>PauseResumeTimer,SleepyTest
iamtomhewitt@jet-dash-vr,AchievementManagerTests<>ShouldGetAnAchievement,SleepyTest
Innoactive@Creator,BackgroundBehaviorTests<>NonBlockingBehaviorActivated,SleepyTest
iamtomhewitt@jet-dash-vr,PowerupTests<>ShouldMakePlayerInvincible,SleepyTest
iamtomhewitt@vr-pacman,GhostTests<>CollidingWithGhostHomeResetsGhost,SleepyTest
iamtomhewitt@vr-pacman,AudioManagerTests<>AudioManagerPlaysSound,SleepyTest
vimeo@vimeo-unity-sdk,VimeoPlayerPlayTest<>Cant_Stream_Video_With_Invalid_Token,SleepyTest
ExtendRealityLtd@Zinnia.Unity,TransformPropertyApplierTest<>ModifyPositionNoOffsetOneSecondDynamicTransition,SleepyTest
iamtomhewitt@jet-dash-vr,PowerupTests<>ShouldIncreaseSpeed,SleepyTest
iamtomhewitt@jet-dash-vr,PlayerScoreTests<>ShouldAddBonusPoints,SleepyTest
iamtomhewitt@vr-pacman,AudioManagerTests<>AudioManagerStopsSound,SleepyTest
ExtendRealityLtd@Zinnia.Unity,CountdownTimerTest<>TimerDoesNotCompleteOnInactiveComponent,SleepyTest
alvinquach@jpl-trek-vr,TextureUtilsTests<>ComputeMipmapSize_NotPowerOf2_ThrowsException,SleepyTest
iamtomhewitt@jet-dash-vr,AudioManagerTests<>ShouldPauseSound,SleepyTest
iamtomhewitt@jet-dash-vr,HighscoreManagerTests<>ShouldNotSaveHighscore,SleepyTest
iamtomhewitt@vr-pacman,PacmanCollisionTests<>CollidingWithPowerupIncreasesSpeed,SleepyTest
iamtomhewitt@vr-pacman,PacmanMovementTests<>PacmanSpeedIsBoostedWhenHittingAPowerup,SleepyTest
iamtomhewitt@jet-dash-vr,PlayerControlTests<>ShouldMoveForward,SleepyTest
iamtomhewitt@jet-dash-vr,HighscoreManagerTests<>ShouldSaveNewHighscore,SleepyTest
ExtendRealityLtd@Zinnia.Unity,CountdownTimerTest<>TimerCancelledOnDisableComponent,SleepyTest
iamtomhewitt@jet-dash-vr,PowerupTests<>ShouldRelocateIfBehindPlayer,SleepyTest
iamtomhewitt@jet-dash-vr,PlayerCollisionTests<>ShouldNotDieIfInHyperdrive,SleepyTest
iamtomhewitt@jet-dash-vr,PowerupTests<>ShouldGivePointsWhenCollidingWithDoublePointsAndZeroScore,SleepyTest
iamtomhewitt@vr-pacman,GameObjectManagerTest<>ResetPositionsWork,SleepyTest
iamtomhewitt@jet-dash-vr,PowerupTests<>ShouldMakePlayerGodModeWhenHyperdriving,SleepyTest
iamtomhewitt@jet-dash-vr,PlayerCollisionTests<>ShouldReturnShield,SleepyTest
iamtomhewitt@vr-pacman,PowerupTests<>PowerupRotates,SleepyTest
iamtomhewitt@vr-pacman,GameObjectManagerTest<>CanMakeGhostsEdibleButNotIfTheyAreRunningHome,SleepyTest
iamtomhewitt@vr-pacman,PacmanCollisionTests<>CollidingWithFoodIncreasesScore,SleepyTest
ExtendRealityLtd@Zinnia.Unity,TransformPropertyApplierTest<>ModifyPositionNoOffsetOneSecondTransition,SleepyTest
iamtomhewitt@jet-dash-vr,ShopManagerTests<>ShouldNotPurchaseShipIfAlreadyUnlocked,SleepyTest
iamtomhewitt@jet-dash-vr,UiTests<>ShouldTurnOff,SleepyTest
iamtomhewitt@jet-dash-vr,PowerupTests<>ShouldDoublePoints,SleepyTest
iamtomhewitt@jet-dash-vr,PlayerControlTests<>ShouldStopMoving,SleepyTest
iamtomhewitt@vr-pacman,PacmanCollisionTests<>CollidingWithCherryIncreasesScore,SleepyTest
iamtomhewitt@vr-pacman,GhostTests<>GhostCanResetPosition,SleepyTest
iamtomhewitt@vr-pacman,AudioManagerTests<>AudioManagerPausesAllSounds,SleepyTest
iamtomhewitt@vr-pacman,PacmanCollisionTests<>CollidingWithGhostWhenGhostIsEdibleMakesGhostRunHome,SleepyTest
iamtomhewitt@jet-dash-vr,PlayerControlTests<>ShouldNotIncreaseSpeedWhenMaxSpeedReached,SleepyTest
iamtomhewitt@jet-dash-vr,ShopManagerTests<>ShouldGetShip,SleepyTest
ExtendRealityLtd@Zinnia.Unity,CountdownTimerTest<>TimerCancelledOnDisableGameObject,SleepyTest
iamtomhewitt@jet-dash-vr,PlayerScoreTests<>ShouldDoublePoints,SleepyTest
iamtomhewitt@jet-dash-vr,PlayerCollisionTests<>ShouldDieWhenCollidingWithAnimatedObstacle,SleepyTest
iamtomhewitt@vr-pacman,AudioManagerTests<>AudioManagerPausesSound,SleepyTest
iamtomhewitt@vr-pacman,GhostTests<>GhostMoves,SleepyTest
iamtomhewitt@jet-dash-vr,PowerupTests<>ShouldAddBonusPoints,SleepyTest
ExtendRealityLtd@Zinnia.Unity,CountdownTimerTest<>TimerComplete,SleepyTest
iamtomhewitt@jet-dash-vr,PlayerControlTests<>ShouldIncreaseSpeed,SleepyTest
vimeo@vimeo-unity-sdk,DepthkitPlayTest<>Vimeo_Player_Logs_Error_For_Old_Unity_Versions,SleepyTest
iamtomhewitt@jet-dash-vr,ShopManagerTests<>ShouldNotPurchaseShipIfNotEnoughCash,SleepyTest
SMBenedict173@General-Anesthesia-Simulator,SelectableTest<>SettingNotInteractableShouldTweenToDisabledColor,SleepyTest
ExtendRealityLtd@Zinnia.Unity,CheckState<>CheckStateOnEnableInsideLimitedTime,SleepyTest
iamtomhewitt@vr-pacman,GhostTests<>IncreasingGhostSpeedWorks,SleepyTest
