Project Name,Test Function,Smell Type
vimeo@vimeo-unity-sdk,RegexTests<>Autoplay_Throws_Error_If_Not_Signed_in,UnknownTest
vradarserver@vrs,ReportsControllerTests<>ReportRows_RegistrationReport_Searches_For_Single_Aircraft,UnknownTest
vradarserver@vrs,RebroadcastSettingsTests<>RebroadcastSettings_Constructor_Initialises_To_Known_State_And_Properties_Work,UnknownTest
icosa-gallery@open-brush,FbxConstraintScaleTest<>TestGetters,UnknownTest
icosa-gallery@open-brush,TestTrTransform<>TestInverseMultipliesToIdentity,UnknownTest
watson-developer-cloud@unity-sdk,SpeechToTextV1IntegrationTests<>WaitForLanguageModel,UnknownTest
vradarserver@vrs,LogTests<>Log_WriteLine_Format_Creates_Folder_If_Required,UnknownTest
vradarserver@vrs,ShutdownPresenterTests<>ShutdownPresenter_ShutdownApplication_Closes_Plugins,UnknownTest
icosa-gallery@open-brush,FbxSurfacePhongTest<>TestBasics,UnknownTest
vradarserver@vrs,TestFileInfo<>DirectoryCache_BeginRefresh_Loads_Files_On_Background_Thread,UnknownTest
dioram@Elektronik-Tools-2.0,PointsStressTests<>Remove,UnknownTest
vradarserver@vrs,BaseStationDatabaseTests_SqlServer<>SqlServer_BaseStationDatabase_GetFlights_Can_Return_Subset_Of_Rows,UnknownTest
vradarserver@vrs,BaseStationDatabaseTests_SqlServer<>SqlServer_BaseStationDatabase_UpsertManyAircraft_Updates_Existing_Lookups,UnknownTest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetAircraftByCode_Returns_Aircraft_Object_For_ICAO24_Code,UnknownTest
icosa-gallery@open-brush,TestStatelessRng<>TestUniformity_InRange,UnknownTest
UMI3D@UMI3D-SDK,PoseManager_Test<>PlayPoseClip_AlreadyPlayed,UnknownTest
vradarserver@vrs,BaseStationDatabaseTests_SqlServer<>SqlServer_BaseStationDatabase_GetAircraftByCode_Returns_Null_If_File_Not_Configured,UnknownTest
vradarserver@vrs,FeedsControllerTests<>FeedsController_AircraftList_Can_Specify_ServerTimeTicks_V3,UnknownTest
hotbreakb@Capstone_Design,ListAndArrayExtensionTests<>RemoveAtMany_Sequential,UnknownTest
PastaTime@DataRepVR,ShapePoolGetAuto<>Capsule,UnknownTest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_InsertLocation_Works_For_Different_Cultures,UnknownTest
vradarserver@vrs,AudioServerTests<>AudioServer_Does_Not_Respond_To_Say_If_Line_Is_Missing,UnknownTest
vradarserver@vrs,ConnectionProperty<>ApplyConfiguration_Resets_Statistics_When_DataSource_Changes,UnknownTest
vradarserver@vrs,TimeSpanClass<>XmlSerialiser_Serialise_Stream_Produces_Expected_Text_For_InheritedIgnoreClass,UnknownTest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetFlightsForAircraft_Some_Criteria_Is_Case_Insensitive,UnknownTest
icosa-gallery@open-brush,TestGeometryPool<>TestGeometryPool_Clone,UnknownTest
immersivecognition@unity-experiment-framework,TestTrackers<>AdHocTrackerAdd,UnknownTest
vradarserver@vrs,FileSystemServerTests<>FileSystemServer_Infers_Mime_Type_From_File_Extension,UnknownTest
vradarserver@vrs,TimeSpanClass<>XmlSerialiser_Serialise_Stream_Produces_Expected_Text_For_ListOfClassesClass_With_Null_Element,UnknownTest
vradarserver@vrs,FeedsControllerTests<>FeedsController_AircraftList_Can_Specify_Many_Known_Aircraft_Icaos_V2_POST,UnknownTest
vradarserver@vrs,MainPresenterTests<>MainPresenter_VersionChecker_Not_Invoked_If_Automatic_Updating_Is_Permitted_After_First_Tick,UnknownTest
vradarserver@vrs,BaseStationDatabaseTests_SqlServer<>SqlServer_BaseStationDatabase_GetFlightsForAircraft_Some_Criteria_Is_Case_Insensitive,UnknownTest
vradarserver@vrs,BundlerHtmlManipulatorTests<>BundlerHtmlManipulator_Stops_If_Tags_Are_Nested,UnknownTest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetOrInsertAircraftByCode_Returns_Record_If_It_Exists,UnknownTest
dioram@Elektronik-Tools-2.0,ConnectionsTests<>CreatePoints,UnknownTest
vradarserver@vrs,BaseStationDatabaseTests_SQLite<>SQLite_BaseStationDatabase_GetAircraftByCode_Returns_Null_If_File_Not_Configured,UnknownTest
